From,To,Distance
Customer 0,Customer 2349221,1.03
Customer 2349221,Customer 0,1.03
Customer 2349221,Customer 1720666,0.74
Customer 1720666,Customer 2349221,0.74
Customer 2349221,Customer 935442,1.04
Customer 935442,Customer 2349221,1.04
Customer 2349221,Customer 2119726,1.04
Customer 2119726,Customer 2349221,1.04
Customer 2349221,Customer 1898768,0.77
Customer 1898768,Customer 2349221,0.77
Customer 0,Customer 1720666,1.75
Customer 1720666,Customer 0,1.75
Customer 1720666,Customer 935442,1.79
Customer 935442,Customer 1720666,1.79
Customer 1720666,Customer 2119726,1.73
Customer 2119726,Customer 1720666,1.73
Customer 1720666,Customer 1898768,1.39
Customer 1898768,Customer 1720666,1.39
Customer 0,Customer 935442,0.28
Customer 935442,Customer 0,0.28
Customer 935442,Customer 2119726,0.61
Customer 2119726,Customer 935442,0.61
Customer 935442,Customer 1898768,0.83
Customer 1898768,Customer 935442,0.83
Customer 0,Customer 2119726,0.86
Customer 2119726,Customer 0,0.86
Customer 2119726,Customer 1898768,0.39
Customer 1898768,Customer 2119726,0.39
Customer 0,Customer 1898768,1.02
Customer 1898768,Customer 0,1.02
