From,To,Distance
Customer 0,Customer 2349221,1.03
Customer 2349221,Customer 0,1.03
Customer 2349221,Customer 1720666,0.74
Customer 1720666,Customer 2349221,0.74
Customer 2349221,Customer 935442,1.04
Customer 935442,Customer 2349221,1.04
Customer 2349221,Customer 2119726,1.04
Customer 2119726,Customer 2349221,1.04
Customer 2349221,Customer 1898768,0.77
Customer 1898768,Customer 2349221,0.77
Customer 2349221,Customer 2977295,2.08
Customer 2977295,Customer 2349221,2.08
Customer 2349221,Customer 98750,0.85
Customer 98750,Customer 2349221,0.85
Customer 2349221,Customer 1967889,0.9
Customer 1967889,Customer 2349221,0.9
Customer 2349221,Customer 512980,1.96
Customer 512980,Customer 2349221,1.96
Customer 2349221,Customer 1163945,1.01
Customer 1163945,Customer 2349221,1.01
Customer 0,Customer 1720666,1.75
Customer 1720666,Customer 0,1.75
Customer 1720666,Customer 935442,1.79
Customer 935442,Customer 1720666,1.79
Customer 1720666,Customer 2119726,1.73
Customer 2119726,Customer 1720666,1.73
Customer 1720666,Customer 1898768,1.39
Customer 1898768,Customer 1720666,1.39
Customer 1720666,Customer 2977295,1.8
Customer 2977295,Customer 1720666,1.8
Customer 1720666,Customer 98750,0.39
Customer 98750,Customer 1720666,0.39
Customer 1720666,Customer 1967889,1.33
Customer 1967889,Customer 1720666,1.33
Customer 1720666,Customer 512980,2.53
Customer 512980,Customer 1720666,2.53
Customer 1720666,Customer 1163945,1.59
Customer 1163945,Customer 1720666,1.59
Customer 0,Customer 935442,0.28
Customer 935442,Customer 0,0.28
Customer 935442,Customer 2119726,0.61
Customer 2119726,Customer 935442,0.61
Customer 935442,Customer 1898768,0.83
Customer 1898768,Customer 935442,0.83
Customer 935442,Customer 2977295,2.72
Customer 2977295,Customer 935442,2.72
Customer 935442,Customer 98750,1.86
Customer 98750,Customer 935442,1.86
Customer 935442,Customer 1967889,1.21
Customer 1967889,Customer 935442,1.21
Customer 935442,Customer 512980,1.53
Customer 512980,Customer 935442,1.53
Customer 935442,Customer 1163945,0.94
Customer 1163945,Customer 935442,0.94
Customer 0,Customer 2119726,0.86
Customer 2119726,Customer 0,0.86
Customer 2119726,Customer 1898768,0.39
Customer 1898768,Customer 2119726,0.39
Customer 2119726,Customer 2977295,3.04
Customer 2977295,Customer 2119726,3.04
Customer 2119726,Customer 98750,1.67
Customer 98750,Customer 2119726,1.67
Customer 2119726,Customer 1967889,0.73
Customer 1967889,Customer 2119726,0.73
Customer 2119726,Customer 512980,1.01
Customer 512980,Customer 2119726,1.01
Customer 2119726,Customer 1163945,0.37
Customer 1163945,Customer 2119726,0.37
Customer 0,Customer 1898768,1.02
Customer 1898768,Customer 0,1.02
Customer 1898768,Customer 2977295,2.85
Customer 2977295,Customer 1898768,2.85
Customer 1898768,Customer 98750,1.29
Customer 98750,Customer 1898768,1.29
Customer 1898768,Customer 1967889,0.38
Customer 1967889,Customer 1898768,0.38
Customer 1898768,Customer 512980,1.19
Customer 512980,Customer 1898768,1.19
Customer 1898768,Customer 1163945,0.24
Customer 1163945,Customer 1898768,0.24
Customer 0,Customer 2977295,2.51
Customer 2977295,Customer 0,2.51
Customer 2977295,Customer 98750,2.19
Customer 98750,Customer 2977295,2.19
Customer 2977295,Customer 1967889,2.96
Customer 1967889,Customer 2977295,2.96
Customer 2977295,Customer 512980,4.02
Customer 512980,Customer 2977295,4.02
Customer 2977295,Customer 1163945,3.08
Customer 1163945,Customer 2977295,3.08
Customer 0,Customer 98750,1.88
Customer 98750,Customer 0,1.88
Customer 98750,Customer 1967889,1.13
Customer 1967889,Customer 98750,1.13
Customer 98750,Customer 512980,2.35
Customer 512980,Customer 98750,2.35
Customer 98750,Customer 1163945,1.46
Customer 1163945,Customer 98750,1.46
Customer 0,Customer 1967889,1.39
Customer 1967889,Customer 0,1.39
Customer 1967889,Customer 512980,1.22
Customer 512980,Customer 1967889,1.22
Customer 1967889,Customer 1163945,0.39
Customer 1163945,Customer 1967889,0.39
Customer 0,Customer 512980,1.81
Customer 512980,Customer 0,1.81
Customer 512980,Customer 1163945,0.96
Customer 1163945,Customer 512980,0.96
Customer 0,Customer 1163945,1.16
Customer 1163945,Customer 0,1.16
